date,time,timezone,venue,address,mapUrl,ticketUrl,description
2025-04-17,19:00,America/Chicago,Double Clutch Brewing Company,"2121 Ashland Ave,https://maps.app.goo.gl/WugFEWpvousxDFnf7, IL",https://maps.app.goo.gl/WugFEWpvousxDFnf7,https://www.doubleclutchbrewing.com/live-shows,with The Neighborhood Kids
2025-06-21,19:00,America/Chicago,The Atlantic Bar & Grill,"5062 N Lincoln Ave, Chicago, IL",https://maps.app.goo.gl/zsUcCxZY7wK5Av758,https://www.theatlanticbarandgrill.com/chicago-the-atlantic-bar-and-grill-events,with Chuck Patella
2025-07-26,19:00,America/Chicago,Cary's Lounge,"2251 W. Devon Ave, Chicago, IL",http://tinyurl.com/map-to-carys,https://caryslounge.com/caryslounge.com/events/,supporting Odd Man Out
2025-08-28,18:00,America/Chicago,Montrose Saloon,"2933 W Montrose Ave, Chicago, IL",https://maps.app.goo.gl/NcD8g4TNqtbXhcP2A,https://montrosesaloon.com/event/matthew-rift-band-career-tomboy-shot-of-therapy-broken-thorn/,"with Matthew Rift Band, Shot of Therapy, and Broken Thorn"
2025-08-10,16:00,America/Chicago,Custer Oasis,"Custer Avenue between Main and Washington, Evanston, IL",https://maps.app.goo.gl/PJECF4irifaaRbVs8," Evanston",with Dad or Alive and Alex Childs
2025-09-20,,America/Chicago,Private Event,,,,
2025-08-23,,America/Chicago,Private Event,,,,
2026-02-19,19:00,America/Chicago,Double Clutch Brewing Company,"2121 Ashland Ave, Evanston, IL",https://maps.app.goo.gl/WugFEWpvousxDFnf7,https://www.doubleclutchbrewing.com/live-shows,
2025-10-29,19:00,America/Chicago,Evanston Post 42,"1030 Central St, Evanston, IL",https://maps.app.goo.gl/1i43RayMJ9Vzd58h8,,supporting Dad or Alive
2025-11-15,19:00,America/Chicago,The Atlantic Bar & Grill,"5062 N. Lincoln Ave, Chicago, IL",https://maps.app.goo.gl/zsUcCxZY7wK5Av758,https://www.theatlanticbarandgrill.com/chicago-the-atlantic-bar-and-grill-events,with Dad or Alive
2025-01-17,19:00,America/Chicago,Cary's Lounge,"2251 W. Devon Ave, Chicago, IL",http://tinyurl.com/map-to-carys,https://caryslounge.com/caryslounge.com/events/,supporting Odd Man Out
